CAM_PF4
YEAR	MONTH	C100MIF	C3MIF	C5MIF	C203MIF	C9MIF	C129MIF
1937	6	18	3	200	105	90	246
1937	7	32	3	249	60	153	268
1937	8	180	3	426	61	165	277
1937	9	47	3	483	60	123	268
1937	10	28	3	573	61	90	277
1937	11	28	3	484	61	47	277
1937	12	27	3	294	60	29	268
1938	1	23	3	210	105	98	277
1938	2	18	6	193	101	112	268
1938	3	18	6	200	105	54	277
1938	4	18	3	200	105	54	277
1938	5	17	3	180	94	45	250
1938	6	18	3	200	105	104	307
1938	7	32	3	258	60	162	298
1938	8	180	3	456	61	159	307
1938	9	47	3	536	60	107	298
1938	10	28	3	676	61	125	307
1938	11	28	3	586	61	144	307
1938	12	27	3	354	60	71	298
1939	1	23	3	255	105	98	307
1939	2	18	6	193	101	136	298
1939	3	18	6	200	105	54	307
1939	4	18	3	200	105	54	307
1939	5	17	3	180	94	45	278
1939	6	18	3	200	105	67	277
1939	7	36	3	282	60	93	298
1939	8	92	3	441	61	91	307
1939	9	47	3	455	60	80	298
1939	10	28	3	479	61	45	307
1939	11	28	3	357	61	31	307
1939	12	27	3	206	60	26	298
1940	1	23	3	200	74	45	307
1940	2	18	6	193	71	30	298
1940	3	18	6	200	74	32	307
1940	4	18	3	200	74	31	307
1940	5	17	3	187	67	46	288
1940	6	18	3	200	61	144	307
1940	7	32	3	258	60	174	298
1940	8	180	3	464	61	164	307
1940	9	47	3	505	60	143	298
1940	10	28	3	571	61	90	307
1940	11	28	3	475	61	31	307
1940	12	27	3	292	60	29	298
1941	1	23	3	215	105	98	307
1941	2	18	6	193	101	98	298
1941	3	18	6	200	105	49	307
1941	4	18	3	200	105	54	307
1941	5	17	3	180	94	45	278
1941	6	18	3	200	105	151	307
1941	7	32	3	275	60	156	298
1941	8	180	3	488	61	179	307
1941	9	47	3	536	60	169	298
1941	10	28	3	676	61	171	307
1941	11	28	3	586	61	184	307
1941	12	27	3	354	60	149	298
1942	1	23	3	255	105	98	307
1942	2	18	6	193	101	134	298
1942	3	18	6	200	105	54	307
1942	4	18	3	200	105	54	307
1942	5	17	3	180	94	45	278
1942	6	18	3	200	105	127	307
1942	7	32	3	276	60	136	298
1942	8	180	3	492	61	173	307
1942	9	47	3	536	60	176	298
1942	10	28	3	676	61	159	307
1942	11	28	3	586	61	157	307
1942	12	27	3	354	60	84	298
1943	1	23	3	255	105	98	307
1943	2	18	6	193	101	130	298
1943	3	18	6	200	105	54	307
1943	4	18	3	200	105	54	307
1943	5	17	3	180	94	44	278
1943	6	18	3	200	105	87	307
1943	7	32	3	282	60	124	298
1943	8	180	3	492	61	156	307
1943	9	47	3	536	60	128	298
1943	10	28	3	649	61	125	307
1943	11	28	3	554	61	112	307
1943	12	27	3	334	60	71	298
1944	1	23	3	248	105	98	307
1944	2	18	6	193	101	130	298
1944	3	18	6	200	105	54	307
1944	4	18	3	200	105	50	307
1944	5	17	3	187	94	46	288
1944	6	18	3	200	105	84	307
1944	7	36	3	280	60	107	298
1944	8	92	3	450	61	157	307
1944	9	47	3	484	60	122	298
1944	10	28	3	561	61	92	307
1944	11	28	3	464	61	56	307
1944	12	27	3	285	60	36	298
1945	1	23	3	207	105	98	307
1945	2	18	6	193	101	115	298
1945	3	18	6	200	105	54	307
1945	4	18	3	200	105	54	307
1945	5	17	3	180	94	45	278
1945	6	18	3	200	105	82	307
1945	7	32	3	284	60	131	298
1945	8	180	3	475	61	154	307
1945	9	47	3	521	60	133	298
1945	10	28	3	631	61	111	307
1945	11	28	3	533	61	82	307
1945	12	27	3	326	60	54	298
1946	1	23	3	237	105	98	307
1946	2	18	6	193	101	146	298
1946	3	18	6	200	105	54	307
1946	4	18	3	200	105	54	307
1946	5	17	3	180	94	44	278
1946	6	18	3	200	105	95	307
1946	7	32	3	279	60	152	298
1946	8	180	3	470	61	155	307
1946	9	47	3	508	60	115	298
1946	10	28	3	595	61	91	307
1946	11	28	3	504	61	45	307
1946	12	27	3	308	60	30	298
1947	1	23	3	227	105	98	307
1947	2	18	6	193	101	88	298
1947	3	18	6	200	105	53	307
1947	4	18	3	200	105	54	307
1947	5	17	3	180	94	45	278
1947	6	18	3	200	105	70	277
1947	7	32	3	278	60	106	298
1947	8	180	3	458	61	128	307
1947	9	47	3	469	60	85	298
1947	10	28	3	545	61	75	307
1947	11	28	3	433	61	42	307
1947	12	27	3	269	60	28	298
1948	1	23	3	200	74	55	307
1948	2	18	6	193	71	32	298
1948	3	18	6	200	74	32	307
1948	4	18	3	200	74	31	307
1948	5	17	3	187	67	41	288
1948	6	18	3	200	61	49	215
1948	7	32	3	254	60	93	268
1948	8	180	3	467	61	174	307
1948	9	47	3	536	60	169	298
1948	10	28	3	676	61	157	307
1948	11	28	3	578	61	143	307
1948	12	27	3	352	60	100	298
1949	1	23	3	255	105	98	307
1949	2	18	6	193	101	129	298
1949	3	18	6	200	105	54	307
1949	4	18	3	200	105	54	307
1949	5	17	3	180	94	45	278
1949	6	18	3	200	105	82	277
1949	7	32	3	280	45	159	298
1949	8	180	3	484	46	157	307
1949	9	47	3	525	45	127	298
1949	10	28	3	614	46	77	307
1949	11	28	3	515	46	31	307
1949	12	27	3	315	45	29	298
1950	1	23	3	231	55	98	307
1950	2	18	6	193	54	113	298
1950	3	18	6	200	55	50	307
1950	4	18	3	200	55	41	307
1950	5	17	3	180	50	45	278
1950	6	18	3	200	46	89	277
1950	7	32	3	280	60	140	298
1950	8	180	3	483	61	161	307
1950	9	47	3	515	60	140	298
1950	10	28	3	605	61	125	307
1950	11	28	3	514	61	110	307
1950	12	27	3	313	60	71	298
1951	1	23	3	227	105	98	307
1951	2	18	6	193	101	110	298
1951	3	18	6	200	105	31	307
1951	4	18	3	200	105	31	307
1951	5	17	3	180	94	28	278
1951	6	18	3	200	105	91	307
1951	7	32	3	288	60	132	298
1951	8	180	3	481	61	162	307
1951	9	47	3	527	60	159	298
1951	10	28	3	621	61	160	307
1951	11	28	3	511	61	146	307
1951	12	27	3	312	60	106	298
1952	1	23	3	231	105	98	307
1952	2	18	6	193	101	131	298
1952	3	18	6	200	105	54	307
1952	4	18	3	200	105	54	307
1952	5	17	3	187	94	46	288
1952	6	18	3	200	105	184	307
1952	7	32	3	279	60	179	298
1952	8	180	3	475	61	184	307
1952	9	47	3	536	60	179	298
1952	10	28	3	676	61	173	307
1952	11	28	3	586	61	172	307
1952	12	27	3	354	60	129	298
1953	1	23	3	255	105	98	307
1953	2	18	6	193	101	145	298
1953	3	18	6	200	105	54	307
1953	4	18	3	200	105	54	307
1953	5	17	3	180	94	45	278
1953	6	18	3	200	105	86	307
1953	7	32	3	288	60	140	298
1953	8	180	3	492	61	174	307
1953	9	47	3	536	60	175	298
1953	10	28	3	676	61	172	307
1953	11	28	3	586	61	172	307
1953	12	27	3	354	60	149	298
1954	1	23	3	255	105	98	307
1954	2	18	6	193	101	131	298
1954	3	18	6	200	105	54	307
1954	4	18	3	200	105	54	307
1954	5	17	3	180	94	45	278
1954	6	18	3	200	105	85	307
1954	7	32	3	282	60	143	298
1954	8	180	3	492	61	164	307
1954	9	47	3	519	60	143	298
1954	10	28	3	628	61	150	307
1954	11	28	3	523	61	145	307
1954	12	27	3	331	60	111	298
1955	1	23	3	251	105	66	307
1955	2	18	6	193	101	66	298
1955	3	18	6	200	105	48	307
1955	4	18	3	200	105	54	307
1955	5	17	3	180	94	45	278
1955	6	18	3	200	105	81	277
1955	7	32	3	271	60	89	268
1955	8	180	3	434	61	159	277
1955	9	47	3	486	60	122	268
1955	10	28	3	554	61	59	277
1955	11	28	3	453	61	31	277
1955	12	27	3	283	60	27	268
1956	1	23	3	210	105	62	277
1956	2	18	6	193	101	40	268
1956	3	18	6	200	105	31	277
1956	4	18	3	200	105	48	277
1956	5	17	3	187	94	29	259
1956	6	18	3	200	105	153	307
1956	7	32	3	278	60	142	298
1956	8	180	3	491	61	168	307
1956	9	47	3	536	60	162	298
1956	10	28	3	676	61	143	307
1956	11	28	3	586	61	144	307
1956	12	27	3	354	60	71	298
1957	1	23	3	255	105	98	307
1957	2	18	6	193	101	146	298
1957	3	18	6	200	105	54	307
1957	4	18	3	200	105	54	307
1957	5	17	3	180	94	45	278
1957	6	18	3	200	105	80	307
1957	7	32	3	283	60	117	298
1957	8	180	3	460	61	157	307
1957	9	47	3	527	60	172	298
1957	10	28	3	642	61	166	307
1957	11	28	3	547	61	162	307
1957	12	27	3	332	60	144	298
1958	1	23	3	255	105	73	307
1958	2	18	6	193	101	94	298
1958	3	18	6	200	105	54	307
1958	4	18	3	200	105	54	307
1958	5	17	3	180	94	45	278
1958	6	18	3	200	105	120	307
1958	7	32	3	258	60	179	298
1958	8	180	3	465	61	184	307
1958	9	47	3	536	60	166	298
1958	10	28	3	676	61	157	307
1958	11	28	3	586	61	157	307
1958	12	27	3	354	60	85	298
1959	1	23	3	255	105	98	307
1959	2	18	6	193	101	128	298
1959	3	18	6	200	105	54	307
1959	4	18	3	200	105	54	307
1959	5	17	3	180	94	45	278
1959	6	18	3	200	105	80	307
1959	7	32	3	276	60	84	298
1959	8	180	3	452	61	119	307
1959	9	47	3	482	60	83	298
1959	10	28	3	525	61	31	307
1959	11	28	3	411	61	31	307
1959	12	27	3	250	60	24	298
1960	1	23	3	200	74	43	307
1960	2	18	6	193	71	30	298
1960	3	18	6	200	74	31	307
1960	4	18	3	200	74	31	307
1960	5	17	3	187	67	32	288
1960	6	18	3	200	61	72	215
1960	7	32	3	271	60	102	238
1960	8	180	3	446	61	131	246
1960	9	47	3	492	60	104	238
1960	10	28	3	564	61	57	246
1960	11	28	3	474	61	31	246
1960	12	27	3	295	60	28	238
1961	1	23	3	218	74	59	246
1961	2	18	6	193	71	50	238
1961	3	18	6	200	74	42	246
1961	4	18	3	200	74	49	246
1961	5	17	3	180	67	41	222
1961	6	18	3	200	61	58	277
1961	7	32	3	289	45	92	298
1961	8	180	3	477	46	133	307
1961	9	47	3	518	45	114	298
1961	10	28	3	602	46	85	307
1961	11	28	3	493	46	38	307
1961	12	27	3	292	45	29	298
1962	1	23	3	213	55	47	307
1962	2	18	6	193	54	32	298
1962	3	18	6	200	55	31	307
1962	4	18	3	200	55	39	307
1962	5	17	3	180	50	33	278
1962	6	18	3	200	46	95	307
1962	7	32	3	278	45	144	298
1962	8	180	3	472	46	156	307
1962	9	47	3	510	45	121	298
1962	10	28	3	595	46	106	307
1962	11	28	3	495	46	60	307
1962	12	27	3	304	45	29	298
1963	1	23	3	223	74	98	307
1963	2	18	6	193	71	179	298
1963	3	18	6	200	74	54	307
1963	4	18	3	200	74	54	307
1963	5	17	3	180	67	43	278
1963	6	18	3	200	61	91	307
1963	7	32	3	278	60	159	298
1963	8	180	3	462	61	184	307
1963	9	47	3	533	60	179	298
1963	10	28	3	646	61	184	307
1963	11	28	3	564	61	184	307
1963	12	27	3	347	60	149	298
1964	1	23	3	255	105	94	307
1964	2	18	6	193	101	136	298
1964	3	18	6	200	105	54	307
1964	4	18	3	200	105	54	307
1964	5	17	3	187	94	46	288
1964	6	18	3	200	105	69	277
1964	7	32	3	275	60	89	268
1964	8	180	3	424	61	113	277
1964	9	47	3	441	60	106	268
1964	10	28	3	524	61	68	277
1964	11	28	3	412	61	31	277
1964	12	27	3	254	60	27	268
1965	1	23	3	200	105	53	277
1965	2	18	6	193	101	30	268
1965	3	18	6	200	105	39	277
1965	4	18	3	200	105	31	277
1965	5	17	3	180	94	28	250
1965	6	18	3	200	105	76	277
1965	7	32	3	273	60	93	268
1965	8	180	3	492	61	161	307
1965	9	47	3	526	60	122	298
1965	10	28	3	634	61	125	307
1965	11	28	3	538	61	117	307
1965	12	27	3	333	60	71	298
1966	1	23	3	251	105	98	307
1966	2	18	6	193	101	136	298
1966	3	18	6	200	105	54	307
1966	4	18	3	200	105	54	307
1966	5	17	3	180	94	45	278
1966	6	18	3	200	105	95	307
1966	7	32	3	287	60	112	298
1966	8	180	3	492	61	142	307
1966	9	47	3	529	60	94	298
1966	10	28	3	594	61	49	307
1966	11	28	3	492	61	31	307
1966	12	27	3	302	60	28	298
1967	1	23	3	226	105	61	307
1967	2	18	6	193	101	57	298
1967	3	18	6	200	105	52	307
1967	4	18	3	200	105	54	307
1967	5	17	3	180	94	44	278
1967	6	18	3	200	105	88	307
1967	7	32	3	279	60	148	298
1967	8	180	3	490	61	184	307
1967	9	47	3	536	60	169	298
1967	10	28	3	676	61	148	307
1967	11	28	3	586	61	144	307
1967	12	27	3	354	60	71	298
1968	1	23	3	255	105	98	307
1968	2	18	6	193	101	141	298
1968	3	18	6	200	105	54	307
1968	4	18	3	200	105	54	307
1968	5	17	3	187	94	46	288
1968	6	18	3	200	105	76	307
1968	7	32	3	288	60	94	298
1968	8	180	3	467	61	107	307
1968	9	47	3	503	60	68	298
1968	10	28	3	567	61	31	307
1968	11	28	3	462	61	31	307
1968	12	27	3	297	60	27	298
1969	1	23	3	221	105	61	307
1969	2	18	6	193	101	51	298
1969	3	18	6	200	105	44	307
1969	4	18	3	200	105	54	307
1969	5	17	3	180	94	42	278
1969	6	18	3	200	105	184	307
1969	7	32	3	279	60	179	298
1969	8	180	3	486	61	184	307
1969	9	47	3	536	60	157	298
1969	10	28	3	676	61	125	307
1969	11	28	3	586	61	144	307
1969	12	27	3	354	60	71	298
1970	1	23	3	255	105	98	307
1970	2	18	6	193	101	144	298
1970	3	18	6	200	105	54	307
1970	4	18	3	200	105	54	307
1970	5	17	3	180	94	28	278
1970	6	18	3	200	105	83	307
1970	7	32	3	283	60	114	298
1970	8	180	3	449	61	155	307
1970	9	47	3	483	60	123	298
1970	10	28	3	556	61	80	307
1970	11	28	3	451	61	31	307
1970	12	27	3	287	60	28	298
1971	1	23	3	214	105	58	307
1971	2	18	6	193	101	53	298
1971	3	18	6	200	105	54	307
1971	4	18	3	200	105	54	307
1971	5	17	3	180	94	45	278
1971	6	18	3	200	105	113	307
1971	7	32	3	273	60	161	298
1971	8	180	3	476	61	168	307
1971	9	47	3	536	60	160	298
1971	10	28	3	676	61	154	307
1971	11	28	3	586	61	156	307
1971	12	27	3	354	60	85	298
1972	1	23	3	255	105	98	307
1972	2	18	6	193	101	131	298
1972	3	18	6	200	105	54	307
1972	4	18	3	200	105	54	307
1972	5	17	3	187	94	46	288
1972	6	18	3	200	105	87	307
1972	7	32	3	288	60	72	298
1972	8	180	3	481	61	128	307
1972	9	47	3	515	60	90	298
1972	10	28	3	579	61	48	307
1972	11	28	3	481	61	31	307
1972	12	27	3	302	60	27	298
1973	1	23	3	229	105	67	307
1973	2	18	6	193	101	72	298
1973	3	18	6	200	105	54	307
1973	4	18	3	200	105	54	307
1973	5	17	3	180	94	44	278
1973	6	18	3	200	105	125	307
1973	7	32	3	284	60	155	298
1973	8	180	3	488	61	162	307
1973	9	47	3	532	60	120	298
1973	10	28	3	607	61	83	307
1973	11	28	3	517	61	31	307
1973	12	27	3	323	60	30	298
1974	1	23	3	243	105	98	307
1974	2	18	6	193	101	140	298
1974	3	18	6	200	105	54	307
1974	4	18	3	200	105	54	307
1974	5	17	3	180	94	37	278
1974	6	18	3	200	105	120	307
1974	7	32	3	258	60	179	298
1974	8	180	3	475	61	184	307
1974	9	47	3	536	60	176	298
1974	10	28	3	676	61	168	307
1974	11	28	3	586	61	184	307
1974	12	27	3	354	60	149	298
1975	1	23	3	255	105	98	307
1975	2	18	6	193	101	133	298
1975	3	18	6	200	105	54	307
1975	4	18	3	200	105	54	307
1975	5	17	3	180	94	45	278
1975	6	18	3	200	105	94	307
1975	7	32	3	268	60	165	298
1975	8	180	3	480	61	183	307
1975	9	47	3	536	60	162	298
1975	10	28	3	676	61	138	307
1975	11	28	3	586	61	144	307
1975	12	27	3	354	60	97	298
1976	1	23	3	255	105	98	307
1976	2	18	6	193	101	169	298
1976	3	18	6	200	105	54	307
1976	4	18	3	200	105	54	307
1976	5	17	3	187	94	46	288
1976	6	18	3	200	105	46	246
1976	7	32	3	277	60	40	238
1976	8	180	3	453	61	60	246
1976	9	47	3	481	60	46	238
1976	10	28	3	525	61	31	246
1976	11	28	3	430	61	31	246
1976	12	27	3	295	60	27	238
1977	1	23	3	221	74	62	246
1977	2	18	6	193	71	55	238
1977	3	18	6	200	74	39	246
1977	4	18	3	200	74	35	246
1977	5	17	3	180	67	29	222
1977	6	18	2	200	61	36	200
1977	7	36	2	239	45	33	193
1977	8	92	2	257	46	31	200
1977	9	47	2	207	45	30	193
1977	10	28	2	200	46	31	200
1977	11	28	2	200	46	31	200
1977	12	27	2	193	45	23	193
1978	1	23	2	200	55	23	200
1978	2	18	4	193	54	22	193
1978	3	18	4	200	55	31	200
1978	4	18	2	200	55	31	200
1978	5	17	2	180	50	44	180
1978	6	18	3	200	46	129	307
1978	7	32	3	278	60	167	298
1978	8	180	3	492	61	184	307
1978	9	47	3	536	60	179	298
1978	10	28	3	644	61	179	307
1978	11	28	3	551	61	181	307
1978	12	27	3	336	60	149	298
1979	1	23	3	255	74	98	307
1979	2	18	6	193	71	116	298
1979	3	18	6	200	74	54	307
1979	4	18	3	200	74	54	307
1979	5	17	3	180	67	45	278
1979	6	18	3	200	61	91	307
1979	7	32	3	289	60	129	298
1979	8	180	3	484	61	160	307
1979	9	47	3	530	60	135	298
1979	10	28	3	588	61	77	307
1979	11	28	3	505	61	31	307
1979	12	27	3	319	60	29	298
1980	1	23	3	239	105	98	307
1980	2	18	6	193	101	136	298
1980	3	18	6	200	105	54	307
1980	4	18	3	200	105	54	307
1980	5	17	3	187	94	32	288
1980	6	18	3	200	105	90	307
1980	7	32	3	280	60	116	298
1980	8	180	3	482	61	157	307
1980	9	47	3	521	60	137	298
1980	10	28	3	617	61	125	307
1980	11	28	3	536	61	134	307
1980	12	27	3	328	60	71	298
1981	1	23	3	247	105	98	307
1981	2	18	6	193	101	131	298
1981	3	18	6	200	105	54	307
1981	4	18	3	200	105	54	307
1981	5	17	3	180	94	45	278
1981	6	18	3	200	105	64	307
1981	7	32	3	288	60	104	298
1981	8	180	3	484	61	129	307
1981	9	47	3	509	60	102	298
1981	10	28	3	568	61	78	307
1981	11	28	3	455	61	49	307
1981	12	27	3	286	60	29	298
1982	1	23	3	214	74	54	307
1982	2	18	6	193	71	35	298
1982	3	18	6	200	74	50	307
1982	4	18	3	200	74	31	307
1982	5	17	3	180	67	28	278
1982	6	18	3	200	61	93	307
1982	7	32	3	276	60	179	298
1982	8	180	3	459	61	179	307
1982	9	47	3	523	60	149	298
1982	10	28	3	647	61	125	307
1982	11	28	3	575	61	144	307
1982	12	27	3	354	60	71	298
1983	1	23	3	255	105	98	307
1983	2	18	6	193	101	179	298
1983	3	18	6	200	105	53	307
1983	4	18	3	200	105	53	307
1983	5	17	3	180	94	44	278
1983	6	18	3	200	105	184	307
1983	7	32	3	258	60	179	298
1983	8	180	3	457	61	184	307
1983	9	47	3	536	60	179	298
1983	10	28	3	676	61	131	307
1983	11	28	3	586	61	144	307
1983	12	27	3	354	60	71	298
1984	1	23	3	255	105	98	307
1984	2	18	6	193	101	179	298
