CAM_PF4
YEAR	MONTH	C100MIF	C3MIF	C5MIF	C203MIF	C9MIF	C129MIF
1989	10	28	3	504	46	38	277
1989	11	28	3	404	46	31	277
1989	12	27	3	258	45	27	268
1990	1	23	3	200	55	73	277
1990	2	18	6	193	54	62	268
1990	3	18	6	200	55	35	277
1990	4	18	3	200	55	31	277
1990	5	17	3	180	50	34	250
1990	6	18	3	200	46	54	200
1990	7	32	3	249	45	45	193
1990	8	180	3	364	46	64	200
1990	9	47	3	388	45	83	193
1990	10	28	3	432	46	44	200
1990	11	28	3	333	46	31	200
1990	12	27	3	215	45	28	193
1991	1	23	3	200	55	45	200
1991	2	18	6	193	54	30	193
1991	3	18	6	200	55	31	200
1991	4	18	3	200	55	31	200
1991	5	17	3	180	50	28	180
1991	6	18	2	200	46	34	215
1991	7	36	2	224	45	78	208
1991	8	92	2	331	46	119	215
1991	9	47	2	301	45	104	208
1991	10	28	2	242	46	114	215
1991	11	28	2	200	46	84	215
1991	12	27	2	193	45	41	208
1992	1	23	2	200	55	68	215
1992	2	18	4	193	54	48	208
1992	3	18	4	200	55	31	215
1992	4	18	2	200	55	31	215
1992	5	17	2	187	50	29	201
1992	6	18	2	200	46	70	215
1992	7	32	2	238	45	93	268
1992	8	180	2	355	46	111	277
1992	9	47	2	308	45	72	268
1992	10	28	2	200	46	72	277
1992	11	28	2	200	46	64	277
1992	12	27	2	193	45	29	268
1993	1	23	2	200	55	42	277
1993	2	18	4	193	54	30	268
1993	3	18	4	200	55	31	277
1993	4	18	2	200	55	31	277
1993	5	17	2	180	50	44	250
1993	6	18	3	200	46	184	307
1993	7	32	3	274	60	179	298
1993	8	180	3	492	61	180	307
1993	9	47	3	536	60	173	298
1993	10	28	3	676	61	184	307
1993	11	28	3	567	61	184	307
1993	12	27	3	351	60	149	298
1994	1	23	3	255	74	98	307
1994	2	18	6	193	71	140	298
1994	3	18	6	200	74	51	307
1994	4	18	3	200	74	52	307
1994	5	17	3	180	67	43	278
1994	6	18	2	200	61	79	307
1994	7	36	2	271	60	73	298
1994	8	92	2	426	61	117	307
1994	9	47	2	435	60	96	298
1994	10	28	2	463	61	86	307
1994	11	28	2	327	61	31	307
1994	12	27	2	193	60	28	298
