!Table for month SJRRP Flows
!This table is for FULL flows
SJRRP
ann     mon     NP      P       thruJun     thruSept	RCH_NP	RCH_P
1975    10      350     0       0           63.87	45	0
1975    11      350     0       0           42.35	45	0
1975    12      350     0       0           20.83	65	0
2499.9  1       350     0       0           0		115	0
2499.9  2       467     0       0           0		313.33	0
2499.9  3       350     0       0           0		155	0
2499.9  4       350     0       0           0		175	0
2499.9  5       350     0       391.17      0		175	0
2499.9  6       1486    0       371.73      435.6	1226.94	0
2499.9  7       4000    4000    280.36      344.23	3658	3658
2499.9  8       350     0       42.35       106.21	85	0
2499.9  9       350     0       20.83       84.69	85	0
2499.9  10      350     0       0           63.87	45	0
2499.9  11      350     0       0           42.35	45	0
2499.9  12      350     0       0           20.83	65	0
2500    1       350     0       0           0		115	0
2500    2       467     0       0           0		313.33	0
2500    3       350     0       0           0		155	0
2500    4       350     0       0           0		175	0
2500    5       350     0       455.89      0		175	0
2500    6       1016    0       436.45      563.96	767.58	0
2500    7       2500    4000    373.98      501.49	2178	3658
2500    8       1468    0       177.62      305.12	1131	0
2500    9       1468    0       87.35       214.86	1131	0
2500    10      1385    0       0           127.51	1057.1	0
2500    11      350     0       0           42.35	45	0
2500    12      350     0       0           20.83	65	0
9999    1       350     0       0           0		115	0
9999    2       467     0       0           0		313.33	0
9999    3       350     0       0           0		155	0
9999    4       350     0       0           0		175	0
9999    5       350     0       455.89      0		175	0
9999    6       1016    0       436.45      563.96	767.58	0
9999    7       2500    4000    373.98      501.49	2178	3658
9999    8       1468    0       177.62      305.12	1131	0
9999    9       1468    0       87.35       214.86	1131	0
9999    10      1385    0       0           127.51	1057.1	0
9999    11      350     0       0           42.35	45	0
9999    12      350     0       0           20.83	65	0



        

