wsi_di_SWP
wsi                   di
0.0        0.0
500.0        503.355356323
1000.0        503.355356323
1500.0        503.355356323
2000.0        833.152889512
2500.0        1364.64304393
3000.0        2270.80986955
3500.0        2885.00719492
4000.0        3696.81093448
4500.0        4498.93387545
5000.0        5529.08346599
5500.0        6356.2068901
6000.0        7076.12617887
6500.0        7737.74002961
7000.0        7825.22203066
7500.0        8033.83850871
8000.0        8033.83850871
8500.0        8033.83850871
9000.0        8033.83850871
9500.0        8033.83850871
10000.0        8033.83850871
10500.0        8033.83850871
11000.0        8033.83850871
11500.0        8033.83850871
12000.0        8033.83850871
12500.0        8033.83850871
13000.0        8033.83850871
13500.0        8033.83850871
14000.0        8033.83850871
14500.0        8033.83850871
15000.0        8033.83850871
15500.0        8033.83850871
16000.0        8033.83850871
16500.0        8033.83850871
17000.0        8033.83850871
17500.0        8033.83850871
18000.0        8033.83850871
18500.0        8033.83850871
19000.0        8033.83850871
19500.0        8033.83850871
20000.0        8033.83850871
