CAM_PF1
YEAR	MONTH	I4_Dem	I5_Dem	Sac_UP	Sac_LO	SCT	CC	
1990	8	110	11	-82	41	25	3	
1990	9	189	16	-266	40	31	3	
1990	10	180	16	-399	-28	137	3	
1990	11	145	14	-322	93	89	3	
1990	12	126	10	-86	132	62	3	
1991	1	37	8	-20	-7	19	3	
1991	2	4	6	33	-33	8	6	
1991	3	0	6	86	-48	0	6	
1991	4	0	6	83	10	0	3	
1991	5	0	6	82	78	0	3	
1991	6	0	6	814	887	22	2	
1991	7	74	13	132	244	0	2	
1991	8	101	14	-202	156	4	2	
1991	9	98	16	-266	101	1	2	
1991	10	105	17	-341	24	88	2	
1991	11	84	15	-244	82	23	2	
1991	12	76	11	-67	116	19	2	
1992	1	17	7	-1	58	15	2	
1992	2	3	7	34	-35	8	4	
1992	3	0	6	86	0	0	4	
1992	4	0	6	200	142	10	2	
1992	5	0	6	846	808	86	2	
1992	6	0	6	590	257	64	2	
1992	7	102	13	105	202	10	2	
1992	8	186	16	-307	100	15	2	
1992	9	169	17	-307	65	126	2	
1992	10	182	18	-402	-44	158	2	
1992	11	147	16	-296	-37	113	2	
1992	12	133	12	-39	9	44	2	
1993	1	9	7	6	-3	25	2	
1993	2	4	7	47	-22	15	4	
1993	3	0	6	334	149	22	4	
1993	4	0	6	1068	2185	55	2	
1993	5	1	6	937	1651	70	2	
1993	6	1	7	876	424	69	3	
1993	7	106	14	575	969	13	3	
1993	8	141	15	85	397	32	3	
1993	9	179	17	81	300	33	3	
1993	10	204	19	-408	37	7	3	
1993	11	162	17	-230	58	98	3	
1993	12	134	12	-46	147	5	3	
1994	1	34	9	93	65	22	3	
1994	2	6	7	55	13	12	6	
1994	3	2	6	260	112	9	6	
1994	4	0	6	231	210	63	3	
1994	5	0	7	536	470	27	3	
1994	6	8	10	287	126	87	2	
1994	7	166	16	-140	224	23	2	
1994	8	138	14	-281	69	31	2	
1994	9	182	17	-385	29	107	2	
1994	10	174	18	-491	-76	193	2	
1994	11	139	16	-348	18	205	2	
1994	12	131	11	-4	122	197	2	
