wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4000.58844866
1000.0        4000.58844866
1500.0        4000.58844866
2000.0        4000.58844866
2500.0        4000.58844866
3000.0        4000.58844866
3500.0        4000.58844866
4000.0        4000.58844866
4500.0        4000.58844866
5000.0        4154.54877972
5500.0        4490.24911868
6000.0        4701.08314503
6500.0        5490.05996821
7000.0        6281.15321773
7500.0        7070.59164889
8000.0        7785.83832154
8500.0        8164.92082219
9000.0        8501.15046317
9500.0        8960.75683219
10000.0        9929.50814089
10500.0        10650.4522929
11000.0        11132.4841515
11500.0        11460.8887029
12000.0        11894.7982014
12500.0        12073.9600357
13000.0        12167.8132802
13500.0        12252.3783089
14000.0        12294.064032
14500.0        12294.064032
15000.0        12294.064032
15500.0        12294.064032
16000.0        12294.064032
16500.0        12294.064032
17000.0        12294.064032
17500.0        12294.064032
18000.0        12294.064032
18500.0        12294.064032
19000.0        12294.064032
19500.0        12294.064032
20000.0        12294.064032
