! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP			
! 2005 Level of Development Assumptions			
! source spreadsheet: BST_SWP_SOD_2005_062709.xls			
swp_3pattern_A56			
contractor	month	percent	demand
1	4	100	1.00
1	5	100	0.00
1	6	100	0.00
1	7	100	0.00
1	8	100	0.00
1	9	100	0.00
1	10	100	0.00
1	11	100	0.00
1	12	100	0.00
1	1	100	0.00
1	2	100	0.00
1	3	100	0.00
2	4	100	1.00
2	5	100	0.00
2	6	100	0.00
2	7	100	0.00
2	8	100	0.00
2	9	100	0.00
2	10	100	0.00
2	11	100	0.00
2	12	100	0.00
2	1	100	0.00
2	2	100	0.00
2	3	100	0.00
3	4	100	0.03
3	5	100	0.03
3	6	100	0.03
3	7	100	0.03
3	8	100	0.03
3	9	100	0.03
3	10	100	0.03
3	11	100	0.03
3	12	100	0.17
3	1	100	0.23
3	2	100	0.20
3	3	100	0.14
4	4	100	0.27
4	5	100	0.28
4	6	100	0.30
4	7	100	0.16
4	8	100	0.00
4	9	100	0.00
4	10	100	0.00
4	11	100	0.00
4	12	100	0.00
4	1	100	0.00
4	2	100	0.00
4	3	100	0.00
5	4	100	0.07
5	5	100	0.12
5	6	100	0.16
5	7	100	0.18
5	8	100	0.21
5	9	100	0.16
5	10	100	0.05
5	11	100	0.02
5	12	100	0.01
5	1	100	0.01
5	2	100	0.01
5	3	100	0.00
6	4	100	0.07
6	5	100	0.12
6	6	100	0.16
6	7	100	0.18
6	8	100	0.21
6	9	100	0.16
6	10	100	0.05
6	11	100	0.02
6	12	100	0.01
6	1	100	0.01
6	2	100	0.01
6	3	100	0.00
7	4	100	0.07
7	5	100	0.12
7	6	100	0.16
7	7	100	0.18
7	8	100	0.21
7	9	100	0.16
7	10	100	0.05
7	11	100	0.02
7	12	100	0.01
7	1	100	0.01
7	2	100	0.01
7	3	100	0.00
8	4	100	0.07
8	5	100	0.12
8	6	100	0.16
8	7	100	0.18
8	8	100	0.21
8	9	100	0.16
8	10	100	0.05
8	11	100	0.02
8	12	100	0.01
8	1	100	0.01
8	2	100	0.01
8	3	100	0.00
9	4	100	0.07
9	5	100	0.12
9	6	100	0.16
9	7	100	0.18
9	8	100	0.21
9	9	100	0.16
9	10	100	0.05
9	11	100	0.02
9	12	100	0.01
9	1	100	0.01
9	2	100	0.01
9	3	100	0.00
10	4	100	0.00
10	5	100	0.00
10	6	100	0.00
10	7	100	0.00
10	8	100	0.40
10	9	100	0.40
10	10	100	0.20
10	11	100	0.00
10	12	100	0.00
10	1	100	0.00
10	2	100	0.00
10	3	100	0.00
11	4	100	0.07
11	5	100	0.12
11	6	100	0.16
11	7	100	0.18
11	8	100	0.21
11	9	100	0.16
11	10	100	0.05
11	11	100	0.02
11	12	100	0.01
11	1	100	0.01
11	2	100	0.01
11	3	100	0.00
12	4	100	0.07
12	5	100	0.12
12	6	100	0.16
12	7	100	0.18
12	8	100	0.21
12	9	100	0.16
12	10	100	0.05
12	11	100	0.02
12	12	100	0.01
12	1	100	0.01
12	2	100	0.01
12	3	100	0.00
13	4	100	0.11
13	5	100	0.11
13	6	100	0.11
13	7	100	0.11
13	8	100	0.26
13	9	100	0.32
13	10	100	0.00
13	11	100	0.00
13	12	100	0.00
13	1	100	0.00
13	2	100	0.00
13	3	100	0.00
14	4	100	1.00
14	5	100	0.00
14	6	100	0.00
14	7	100	0.00
14	8	100	0.00
14	9	100	0.00
14	10	100	0.00
14	11	100	0.00
14	12	100	0.00
14	1	100	0.00
14	2	100	0.00
14	3	100	0.00
15	4	100	0.07
15	5	100	0.12
15	6	100	0.16
15	7	100	0.18
15	8	100	0.21
15	9	100	0.16
15	10	100	0.05
15	11	100	0.02
15	12	100	0.01
15	1	100	0.01
15	2	100	0.01
15	3	100	0.00
16	4	100	0.05
16	5	100	0.21
16	6	100	0.30
16	7	100	0.13
16	8	100	0.18
16	9	100	0.09
16	10	100	0.02
16	11	100	0.00
16	12	100	0.00
16	1	100	0.00
16	2	100	0.00
16	3	100	0.00
17	4	100	0.09
17	5	100	0.16
17	6	100	0.29
17	7	100	0.46
17	8	100	0.00
17	9	100	0.00
17	10	100	0.00
17	11	100	0.00
17	12	100	0.00
17	1	100	0.00
17	2	100	0.00
17	3	100	0.00
18	4	100	0.16
18	5	100	0.30
18	6	100	0.54
18	7	100	0.00
18	8	100	0.00
18	9	100	0.00
18	10	100	0.00
18	11	100	0.00
18	12	100	0.00
18	1	100	0.00
18	2	100	0.00
18	3	100	0.00
19	4	100	0.01
19	5	100	0.17
19	6	100	0.27
19	7	100	0.15
19	8	100	0.40
19	9	100	0.00
19	10	100	0.00
19	11	100	0.00
19	12	100	0.00
19	1	100	0.00
19	2	100	0.00
19	3	100	0.00
20	4	100	0.07
20	5	100	0.12
20	6	100	0.16
20	7	100	0.18
20	8	100	0.21
20	9	100	0.16
20	10	100	0.05
20	11	100	0.02
20	12	100	0.01
20	1	100	0.01
20	2	100	0.01
20	3	100	0.00
21	4	100	0.07
21	5	100	0.12
21	6	100	0.16
21	7	100	0.18
21	8	100	0.21
21	9	100	0.16
21	10	100	0.05
21	11	100	0.02
21	12	100	0.01
21	1	100	0.01
21	2	100	0.01
21	3	100	0.00
22	4	100	0.07
22	5	100	0.12
22	6	100	0.16
22	7	100	0.18
22	8	100	0.21
22	9	100	0.16
22	10	100	0.05
22	11	100	0.02
22	12	100	0.01
22	1	100	0.01
22	2	100	0.01
22	3	100	0.00
23	4	100	0.07
23	5	100	0.12
23	6	100	0.16
23	7	100	0.18
23	8	100	0.21
23	9	100	0.16
23	10	100	0.05
23	11	100	0.02
23	12	100	0.01
23	1	100	0.01
23	2	100	0.01
23	3	100	0.00
24	4	100	0.07
24	5	100	0.12
24	6	100	0.16
24	7	100	0.18
24	8	100	0.21
24	9	100	0.16
24	10	100	0.05
24	11	100	0.02
24	12	100	0.01
24	1	100	0.01
24	2	100	0.01
24	3	100	0.00
25	4	100	0.07
25	5	100	0.12
25	6	100	0.16
25	7	100	0.18
25	8	100	0.21
25	9	100	0.16
25	10	100	0.05
25	11	100	0.02
25	12	100	0.01
25	1	100	0.01
25	2	100	0.01
25	3	100	0.00
26	4	100	0.08
26	5	100	0.08
26	6	100	0.08
26	7	100	0.08
26	8	100	0.08
26	9	100	0.08
26	10	100	0.08
26	11	100	0.08
26	12	100	0.08
26	1	100	0.08
26	2	100	0.08
26	3	100	0.08
27	4	100	0.07
27	5	100	0.12
27	6	100	0.16
27	7	100	0.18
27	8	100	0.21
27	9	100	0.16
27	10	100	0.05
27	11	100	0.02
27	12	100	0.01
27	1	100	0.01
27	2	100	0.01
27	3	100	0.00
28	4	100	0.07
28	5	100	0.12
28	6	100	0.16
28	7	100	0.18
28	8	100	0.21
28	9	100	0.16
28	10	100	0.05
28	11	100	0.02
28	12	100	0.01
28	1	100	0.01
28	2	100	0.01
28	3	100	0.00
29	4	100	0.07
29	5	100	0.12
29	6	100	0.16
29	7	100	0.18
29	8	100	0.21
29	9	100	0.16
29	10	100	0.05
29	11	100	0.02
29	12	100	0.01
29	1	100	0.01
29	2	100	0.01
29	3	100	0.00
30	4	100	0.07
30	5	100	0.12
30	6	100	0.16
30	7	100	0.18
30	8	100	0.21
30	9	100	0.16
30	10	100	0.05
30	11	100	0.02
30	12	100	0.01
30	1	100	0.01
30	2	100	0.01
30	3	100	0.00
31	4	100	0.07
31	5	100	0.12
31	6	100	0.16
31	7	100	0.18
31	8	100	0.21
31	9	100	0.16
31	10	100	0.05
31	11	100	0.02
31	12	100	0.01
31	1	100	0.01
31	2	100	0.01
31	3	100	0.00
32	4	100	0.00
32	5	100	1.00
32	6	100	0.00
32	7	100	0.00
32	8	100	0.00
32	9	100	0.00
32	10	100	0.00
32	11	100	0.00
32	12	100	0.00
32	1	100	0.00
32	2	100	0.00
32	3	100	0.00
