!swp_3pattern_demands_for_WSIDI_training
! output file swp_3pattern_demands_for_WSIDI_training.table to use ONLY for retraining WSI-DI curves
!  with uniform SWP delivery patterns (equal to the 100% patterns) - see simulation protocol for
!  instructions on WSI-DI retraining procedures.
!
! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2005 Level of Development Assumptions
! source spreadsheet: BST_SWP_SOD_2005_062709.xls
swp_3pattern_demands
contractor       month            percent          demand           remainDemand
               17                9              100            24.20            83.76
               17               10              100            15.46            59.56
               17               11              100            16.85            44.10
               17               12              100            12.70            27.25
               17                1              100             7.36            14.55
               17                2              100             4.10             7.19
               17                3              100             3.09             3.09
               18                4              100             0.17            52.61
               18                5              100             0.27            52.44
               18                6              100             1.23            52.17
               18                7              100             5.15            50.94
               18                8              100             6.28            45.79
               18                9              100             8.89            39.51
               18               10              100            10.30            30.62
               18               11              100             7.98            20.32
               18               12              100             5.67            12.34
               18                1              100             3.24             6.67
               18                2              100             2.41             3.43
               18                3              100             1.02             1.02
               19                4              100             0.00            44.76
               19                5              100             0.00            44.76
               19                6              100             0.00            44.76
               19                7              100             0.00            44.76
               19                8              100             0.00            44.76
               19                9              100            13.59            44.76
               19               10              100            12.04            31.17
               19               11              100            11.17            19.13
               19               12              100             5.37             7.96
               19                1              100             2.50             2.58
               19                2              100             0.04             0.09
               19                3              100             0.05             0.05
               20                4              100             0.15             2.26
               20                5              100             0.15             2.11
               20                6              100             0.20             1.96
               20                7              100             0.20             1.76
               20                8              100             0.20             1.56
               20                9              100             0.25             1.36
               20               10              100             0.25             1.11
               20               11              100             0.20             0.86
               20               12              100             0.20             0.66
               20                1              100             0.16             0.46
               20                2              100             0.15             0.30
               20                3              100             0.15             0.15
               21                4              100            17.82           403.63
               21                5              100            18.22           385.81
               21                6              100             3.05           367.59
               21                7              100            36.15           364.53
               21                8              100            40.05           328.38
               21                9              100            42.56           288.34
               21               10              100            50.51           245.77
               21               11              100            50.80           195.27
               21               12              100            48.25           144.47
               21                1              100            33.71            96.22
               21                2              100            37.21            62.51
               21                3              100            25.30            25.30
               22                4              100             0.00           161.92
               22                5              100             0.00           161.92
               22                6              100             0.00           161.92
               22                7              100             6.59           161.92
               22                8              100            22.09           155.33
               22                9              100            18.11           133.24
               22               10              100            31.84           115.13
               22               11              100            40.48            83.29
               22               12              100            11.94            42.81
               22                1              100            10.98            30.87
               22                2              100            13.17            19.90
               22                3              100             6.72             6.72
               23                4              100            18.57           574.80
               23                5              100            18.79           556.23
               23                6              100            26.42           537.44
               23                7              100            38.80           511.03
               23                8              100            46.07           472.22
               23                9              100            65.56           426.15
               23               10              100            71.70           360.59
               23               11              100            74.27           288.88
               23               12              100            43.66           214.62
               23                1              100            35.81           170.96
               23                2              100            66.50           135.14
               23                3              100            68.65            68.65
               24                4              100            42.71           456.68
               24                5              100            25.51           413.97
               24                6              100            25.97           388.45
               24                7              100            36.09           362.49
               24                8              100            33.01           326.40
               24                9              100            38.28           293.39
               24               10              100            49.20           255.11
               24               11              100            49.03           205.91
               24               12              100            41.71           156.88
               24                1              100            37.80           115.17
               24                2              100            41.48            77.37
               24                3              100            35.90            35.90
               25                4              100             3.56            83.22
               25                5              100             3.94            79.66
               25                6              100             3.56            75.72
               25                7              100             5.10            72.16
               25                8              100             6.23            67.06
               25                9              100             8.71            60.83
               25               10              100            11.02            52.12
               25               11              100            11.55            41.11
               25               12              100            10.60            29.56
               25                1              100             6.71            18.96
               25                2              100             6.80            12.25
               25                3              100             5.45             5.45
               26                4              100             3.74            44.15
               26                5              100             3.74            40.41
               26                6              100             3.74            36.67
               26                7              100             3.74            32.93
               26                8              100             3.74            29.19
               26                9              100             3.74            25.44
               26               10              100             3.74            21.70
               26               11              100             3.74            17.96
               26               12              100             3.74            14.22
               26                1              100             2.99            10.48
               26                2              100             3.74             7.48
               26                3              100             3.74             3.74
               27                4              100             0.00            14.10
               27                5              100             0.00            14.10
               27                6              100             0.00            14.10
               27                7              100             0.00            14.10
               27                8              100             0.00            14.10
               27                9              100             2.06            14.10
               27               10              100             2.15            12.04
               27               11              100             2.40             9.89
               27               12              100             2.23             7.49
               27                1              100             1.65             5.26
               27                2              100             1.89             3.61
               27                3              100             1.72             1.72
               28                4              100             0.00             2.82
               28                5              100             0.00             2.82
               28                6              100             0.22             2.82
               28                7              100             0.44             2.60
               28                8              100             0.54             2.16
               28                9              100             0.54             1.62
               28               10              100             0.56             1.07
               28               11              100             0.33             0.52
               28               12              100             0.00             0.19
               28                1              100             0.13             0.19
               28                2              100             0.05             0.05
               28                3              100             0.00             0.00
               29                4              100             0.00            16.71
               29                5              100             0.00            16.71
               29                6              100             1.00            16.71
               29                7              100             1.00            15.71
               29                8              100             2.20            14.71
               29                9              100             2.30            12.51
               29               10              100             2.85            10.21
               29               11              100             2.85             7.36
               29               12              100             1.65             4.51
               29                1              100             1.16             2.86
               29                2              100             0.90             1.70
               29                3              100             0.80             0.80
               30                4              100             6.50            86.20
               30                5              100             6.50            79.70
               30                6              100             7.00            73.20
               30                7              100             7.00            66.20
               30                8              100             7.10            59.20
               30                9              100             8.00            52.10
               30               10              100             8.75            44.10
               30               11              100             8.75            35.35
               30               12              100             8.00            26.60
               30                1              100             5.60            18.60
               30                2              100             6.50            13.00
               30                3              100             6.50             6.50
               31                4              100             0.00            28.18
               31                5              100             0.00            28.18
               31                6              100             3.10            28.18
               31                7              100             3.00            25.08
               31                8              100             3.10            22.08
               31                9              100             3.00            18.98
               31               10              100             3.10            15.98
               31               11              100             3.10            12.88
               31               12              100             3.00             9.78
               31                1              100             2.48             6.78
               31                2              100             3.00             4.30
               31                3              100             1.30             1.30
               32                4              100             0.00            16.25
               32                5              100             0.00            16.25
               32                6              100             0.80            16.25
               32                7              100             2.00            15.45
               32                8              100             2.00            13.45
               32                9              100             2.00            11.45
               32               10              100             2.00             9.45
               32               11              100             2.00             7.45
               32               12              100             2.00             5.45
               32                1              100             1.60             3.45
               32                2              100             1.85             1.85
               32                3              100             0.00             0.00
               33                4              100             0.98            12.29
               33                5              100             0.98            11.31
               33                6              100             1.03            10.33
               33                7              100             1.06             9.30
               33                8              100             1.07             8.24
               33                9              100             1.09             7.17
               33               10              100             1.10             6.07
               33               11              100             1.10             4.97
               33               12              100             1.08             3.87
               33                1              100             0.83             2.79
               33                2              100             0.98             1.97
               33                3              100             0.98             0.98
               34                4              100             1.45            22.30
               34                5              100             1.33            20.85
               34                6              100             1.34            19.52
               34                7              100             1.46            18.18
               34                8              100             2.05            16.72
               34                9              100             2.72            14.66
               34               10              100             2.87            11.94
               34               11              100             2.68             9.08
               34               12              100             2.45             6.40
               34                1              100             1.76             3.95
               34                2              100             0.91             2.19
               34                3              100             1.28             1.28
               35                4              100             0.00            58.80
               35                5              100             0.00            58.80
               35                6              100             0.00            58.80
               35                7              100             0.00            58.80
               35                8              100             0.00            58.80
               35                9              100             3.00            58.80
               35               10              100             8.85            55.80
               35               11              100            13.65            46.95
               35               12              100            12.00            33.30
               35                1              100             8.80            21.30
               35                2              100             7.00            12.50
               35                3              100             5.50             5.50
               36                4              100             1.39            23.43
               36                5              100             1.39            22.05
               36                6              100             1.39            20.66
               36                7              100             2.22            19.27
               36                8              100             2.22            17.05
               36                9              100             2.22            14.83
               36               10              100             2.22            12.61
               36               11              100             2.50            10.38
               36               12              100             2.50             7.89
               36                1              100             1.78             5.39
               36                2              100             1.94             3.61
               36                3              100             1.67             1.67
               37                4              100             0.00            83.70
               37                5              100             0.00            83.70
               37                6              100             0.00            83.70
               37                7              100             0.00            83.70
               37                8              100             0.00            83.70
               37                9              100             0.00            83.70
               37               10              100             8.10            83.70
               37               11              100            15.75            75.60
               37               12              100            15.75            59.85
               37                1              100            12.60            44.10
