!
!coefev = [area(i+1) - area(i)]/[storage(i+1)-storage(i)]
!         added by Z.Q. Richard Chen 5/8/2017
!______________________________________________________________
!Updated into for res_num 94 (JNKSN). Added res_num 95 to 97 for Eastside Streams ---- Idy Lui/BDO 1/28/2019
!Area capacity relationship from CS3_ER_XXX.xlsm spreadsheets provided by Andy Draper/Stantec
!_________________________________________________________________
!units:            af   acre      cfs     ft     [1/ft]
!
res_info
res_num         storage     area      discharge    elevation		coefev	
       9          10000       540       169652            125		0	
      10              0         0            0            543		0.06256	!New Melones Reservoir
      10            975        61           33            600		0.02185	
      10          50000      1132         1700            693		0.02177	
      10          53904      1217         1750            700		0.01085	
      10         100000      1717         1800            726		0.01085	
      10         160548      2374         1982            760		0.00771	
      10         200000      2678         2100            774		0.00772	
      10         250000      3064         2900            791		0.00771	
      10         299517      3446        12110            808		0.00621	
      10         300000      3449        12200            808		0.00556	
      10         846524      6485        12200            920		0.00437	
      10        1398831      8901        12200            992		0.00361	
      10        1969504     10962        12200         1049.5		0.00329	
      10        2419523     12442        12200           1088		0.00333	
      10        2571835     12949        31040           1100		0.00355	
      10        2871000     14011       125676         1123.4		0.00355	
      11              0         0            0              0		0.04439	!San Luis CVP
      11          37980      1686        14376          326.2		0.01304	
      11         142500      3049        14376          369.2		0.00678	
      11         247000      3757        14376          399.6		0.00503	
      11         356250      4307        14376          426.6		0.00369	
      11         475000      4745        14376          452.8		0.00296	
      11         665000      5307        14376          490.5		0.00255	
      11         807500      5670        14376          516.4		0.00239	
      11         902500      5897        14376          532.8		0.00216	
      11         998000      6103        14376          548.7		0.00216	
      12              0         0            0              0		0.04438	!San Luis SWP
      12          42000      1864        14376          326.2		0.01303	
      12         157500      3369        14376          369.2		0.00679	
      12         273000      4153        14376          399.6		0.00504	
      12         393750      4761        14376          426.6		0.00369	
      12         525000      5245        14376          452.8		0.00295	
      12         735000      5865        14376          490.5		0.00255	
      12         892500      6266        14376          516.4		0.0024	
      12         997500      6518        14376          532.8		0.00217	
      12        1102000      6745        14376          548.7		0.00217	
      13              0         1        14376              0		0.04436	!???
      13          42000      1864        14376          326.2		0.01303	
      13         157500      3369        14376          369.2		0.00679	
      13         273000      4153        14376          399.6		0.00504	
      13         393750      4761        14376          426.6		0.00369	
      13         525000      5245        14376          452.8		0.00295	
      13         735000      5865        14376          490.5		0.00255	
      13         892500      6266        14376          516.4		0.0024	
      13         997500      6518        14376          532.8		0.00217	
      13        1102000      6745        14376          548.7		0.00105	
      13        2050000      7745        14376          548.7		0.00105	
      15              0         0            0              0		0.04673	! Del Valle Lake
      15           3317       155          300            609		0.01986	
      15           9863       285          300            638		0.01638	
      15          12000       320          300            648		0.01167	
      15          15000       355          300            658		0.013	
      15          20000       420          300            670		0.016	
      15          25000       500          300            680		0.018	
      15          30000       590          300            690		0.013	
      15          35000       655          300            698		0.0108	
      15          40000       709          300            703		0.00946	
      15          77100      1060          300            745		0.00946	
      16              0         0         1100              0		0.0228	!???
      16          20000       456         1740              0		0.0188	
      16          30000       644         2040              0		0.0191	
      16          40000       835         8000              0		0.0195	
      16          50000      1030         8000              0		0.01971	
      16          57000      1168         8000              0		0.01982	
      16          62500      1277         8000              0		0.02	
      16          63500      1297        27950              0		0.02	
      16          67000      1367        27950              0		0.02	
      16          70000      1427       121200              0		0.02	
      17              0         0       100000              0		0.01586 !Temperance Flat	
      17          50000       793       100000              0		0.01586	
      18              0         0            0              0		0.02008	! Lake Millerton
      18          60000      1205         9000            423		0.0136	
      18         100000      1749        12500            449		0.01128	
      18         140000      2200        18000            469		0.0097	
      18         190000      2685        22000            491		0.00842	
      18         250000      3190        24000            512		0.00745	
      18         310000      3637        27000            530		0.00666	
      18         380000      4103        30000            548		0.00601	
      18         450000      4524        32500            563		0.00549	
      18         530000      4963       103000            578		0.00549	
      19              0         0          500              0		0	!???
      19         100000         0          500              0		0	
      19         150000         0          500              0		0	
      19         200000         0          500              0		0	
      19         250000         0          500              0		0	
      19         300000         0          500              0		0	
      19         350000         0          500              0		0	
      19         400000         0          500              0		0	
      19         450000         0          500              0		0	
      19         500000         0          500              0		0	
      20              0         0            0              0		0.01368	! Lake Mcclure
      20         100000      1368        11500            618		0.00788	
      20         200000      2156        14000            674		0.00696	
      20         300000      2852        14500            713		0.00641	
      20         450000      3813        17000            758		0.00603	
      20         600000      4718        18000            793		0.00581	
      20         750000      5589        19000            823		0.00563	
      20         900000      6434        30000            848		0.00551	
      20        1050000      7261       200000            871		0.00541	
      20        1200000      8073       999999            891		0.00541	
      21              0         0          500              0		0	!???
      21         100000         0          500              0		0	
      21         150000         0          500              0		0	
      21         200000         0          500              0		0	
      21         250000         0          500              0		0	
      21         300000         0          500              0		0	
      21         350000         0          500              0		0	
      21         400000         0          500              0		0	
      21         450000         0          500              0		0	
      21         500000         0          500              0		0	
      22              0         0        10000            380		0.02148	!???
      22          74612      1603        10000            532		0.01385	
      22         149541      2641        10000            568		0.0147	
      22         298414      4830        10000            609		0.0105	
      22         552303      7495        10000            650		0.00657	
      22         878827      9641        10000            688		0.00431	
      22        1301774     11465        10000            728		0.00344	
      22        1502601     12156        10000            745		0.00315	
      22        1805797     13111        10000            769		0.00295	
      22        2304340     14580        10000            805		0.00295	
      23              0         0            0              0		0.01752	!???
      23         100000      1752        99999            524		0.00788	
      23         400000      4116        99999            628		0.00622	
      23         700000      5983        99999            683		0.00564	
      23        1000000      7675        99999            725		0.00532	
      23        1300000      9270        99999            760		0.0051	
      23        1600000     10800        99999            791		0.00494	
      23        1900000     12283        99999            820		0.00483	
      23        2200000     13732        99999            847		0.00473	
      23        2500000     15151        99999            872		0.00473	
      24              0         0          500              0		0	!???
      24         100000         0          500              0		0	
      24         150000         0          500              0		0	
      24         200000         0          500              0		0	
      24         250000         0          500              0		0	
      24         300000         0          500              0		0	
      24         350000         0          500              0		0	
      24         400000         0          500              0		0	
      24         450000         0          500              0		0	
      24         500000         0          500              0		0	
      25              0         0         2810           3180		0.08	!SILVERWOOD LAKE
      25           1000        80         2810           3200		0.03167	
      25           4000       175         2810           3220		0.0225	
      25           6000       220         2810           3230		0.01667	
      25          15000       370         2810           3260		0.01238	
      25          25500       500         2810           3280		0.01917	
      25          31395       613         2810           3300		0.0096	
      25          44941       743         2810           3320		0.00817	
      25          61101       875         2810           3340		0.00598	
      25          78000       976         2810           3355		0.00598	
      26              0         0         5000              0		0.01161	!???
      26         336000      3900         5000            142		0.00661	
      26         669000      6100         5000            199		0.00571	
      26        1002000      8000         5000            239		0.0042	
      26        1335000      9400         5000            263		0.0039	
      26        1668000     10700         5000            284		0.00541	
      26        2001000     12500         5000            311		0.00541	
      26        2334000     14300         5000            345		0.0036	
      26        2667000     15500         5000            361		0.0024	
      26        3000000     16300         5000            373		0.0024	
      27              0         0            0              0		0.1175	!Lake Perris
      27           4000       470         1000           1500		0.03509	
      27           9700       670         1000           1510		0.02329	
      27          17000       840         1000           1520		0.01895	
      27          26500      1020         1000           1530		0.01565	
      27          38000      1200         1000           1540		0.01583	
      27          50000      1390         1000           1550		0.015	
      27          66000      1630         1000           1560		0.01371	
      27          83500      1870         1000           1570		0.01231	
      27         103000      2110         1000           1580		0.01	
      27         130000      2380         3800           1592		0.01	
      28              0         0            0              0		0.03	!Pyramid Lake
      28           1500        45         3100           2300		0.03182	
      28           7000       220         3100           2350		0.01333	
      28          22000       420         3100           2400		0.00827	
      28          48000       635         3100           2450		0.00605	
      28          86000       865         3100           2500		0.00522	
      28         133913      1115         3100           2548		0.00472	
      28         147680      1180         3100           2560		0.00496	
      28         159778      1240         3100           2570		0.00503	
      28         172496      1304         3100           2580		0.00531	
      28         200000      1450         3100           2604		0.00531	
      29              0         0         3100           1200		0.025	!Castaic Lake
      29          10000       250         3100           1250		0.02333	
      29          25000       600         3100           1300		0.0075	
      29          65000       900         3100           1350		0.00877	
      29          94874      1162         3100           1379		0.00584	
      29         141634      1435         3100           1415		0.00482	
      29         196413      1699         3100           1450		0.01829	
      29         260662      2874         3100           1485		0.01682	!use upper interval coefev
      29         323702      2235         3100           1515		0.01682	
      29         363250      2900         3100           1530		0.01682	
      30              0         0         6800            220		0.17241	!NODOS LOCAL
      30             29         5         6800            240		0.07547	
      30            294        25         6800            260		0.10874	
      30           2354       249         6800            280		0.06375	
      30          15702      1100         6800            300		0.03738	
      30          50078      2385         6800            320		0.02314	
      30         112359      3826         6800            340		0.01623	
      30         200601      5258         6800            360		0.01045	
      30         320833      6514         6800            380		0.00841	
      30         462053      7701         6800            400		0.00839	
      30         631450      9122         6800            420		0.00592	
      30         824033     10263         6800            440		0.00487	
      30        1040446     11318         6800            460		0.00426	
      30        1276899     12326         6800            480		0.0036	
      30        1533618     13251         6800            500		0.00321	
      30        1807485     14130         6800            520		0.0029	
      30        2096884     14969         6800            540		0.0029	
      31         190000      1500         3218           1700		0.0082	!NODOS  SWP
      31         251000      2000         3251           1732		0.00537	
      31         400000      2800         3267           1801		0.0025	
      31         600000      3300        99999           1874		0.005	
      31         700000      3800        99999           1902		0.00417	
      31         796000      4200        99999           1918		0.003	
      31         896000      4500        99999           1948		0.02143	
      31         966000      6000        99999           1961		0	
      31         990000      6000        99999           1965		0	
      32              0         0            0           5933		0.01471	!NODOS CVP
      32          17000       250        99999           5958		0.01471	
      32          34000       500        99999           5984		0.0147	
      32          52500       772        99999           6011		0.01467	
      32          69200      1017        99999           6036		0.01467	
      33              0         0            0           5392		0.01215	!NODOS EWA
      33          20000       243        99999           5443		0.0121	
      33          40000       485        99999           5495		0.01233	
      33          55000       670        99999           5515		0.01192	
      33          68000       825        99999           5567		0.01192	
      34              0         0            0           6200		0.01533	!NODOD WQ
      34          46700       716        99999           6343		0.01533	
      35              0         0            0           4741		0.012	!???
      35          15000       180        99999           4800		0.0053	
      35          25000       233        99999           4833		0.00936	
      35          50000       467        99999           4925		0.00931	
      35          74800       698        99999           5016		0.00931	
      36              0         0            0           2910		0.0148	!???
      36          49000       725        99999           3085		0.0148	
      37          50000       600         4235            507		0.014	!???
      37          65000       810        99999            522		0.0025	
      37          67000       815        99999            527		0.00019	
      37          72400       816        99999            530		0.00019	
      40              0         0            0          99999           1.82796 !Jay Added, East Park
      40            279        51            5        1131.68		0.1407	
      40            478        79            5           1135		0.11	
      40            978       134            5           1140		0.08889	
      40           1788       206            5           1140		0.07327	
      40           2989       294          750           1150		0.06166	
      40           5000       418          753        1155.84		0.05085	
      40           6888       514          755           1160		0.04407	
      40           9702       638          758           1165		0.0396	
      40          13162       775          760           1170		0.03772	
      40          17351       933          763           1175		0.03508	
      40          22368      1109          765           1180		0.03018	
      40          28265      1287          768           1185		0.02732	
      40          35074      1473          770           1190		0.02391	
      40          42810      1658          773           1195		0.02203	
      40          47895      1770         1300           1198		0.02295	
      40          48200      1777         1300        1198.18		0.0198	
      40          49665      1806         1900           1199		0.02024	
      40          50900      1831         2500        1199.68		0.02102	
      40          51471      1843         3039           1200		0.01988	
      40          54589      1905         9950        1201.68		0.01863	
      40          59205      1991        26835           1204		0.0177	
      40          67565      2139        75820           1208		0.0177	
      41              0         0            0            728		0.375	
      41              8         3           15            735		0.20408	! Stony Gorge
      41             57        13           15         744.23		0.1134	
      41            154        24           15            750		0.15116	
      41            326        50           15            755		0.0906	
      41            624        77           15            760		0.09494	
      41           1098       122           15            765		0.06705	
      41           1799       169          650            770		0.06315	
      41           2765       230         3000            775		0.04728	
      41           4034       290         3000            780		0.03883	
      41           5605       351         3000            785		0.03308	
      41           7479       413         4000            790		0.03763	
      41           9711       497         4000            795		0.03097	
      41          12359       579         4000            800		0.0265	
      41          15416       660         4000            805		0.02393	
      41          18884       743         4000            810		0.02361	
      41          22781       835         4000            815		0.02046	
      41          28059       943         5000            821		0.04965	
      41          28200       950         5000         821.38		0.01791	
      41          31941      1017         5000            825		0.0171	
      41          37204      1107         5000            830		0.01626	
      41          38311      1125         5000            831		0.01605	
      41          42921      1199         9960            835		0.01458	
      41          49094      1289        23760            840		0.01396	
      41          50383      1307        26820            841		0.0137	
      41          55054      1371        39315          844.5		0.01499	
      41          55721      1381        41355            845		0.01223	
      41          58500      1415        49770            847		0.01223	
      41          62670      1466        63880            850		0.01223	
      42              0         0            0            380		0.15028	 ! Black Butte
      42             21        13         2000            390		0.15028	
      42           1079       172         7000            400		0.051	
      42           2079       223         8400            405		0.08406	
      42           3459       339         9700            410		0.0829	
      42           5389       499        11000          414.6		0.06098	
      42           8603       695        12400            420		0.04624	
      42          12517       876        13800            425		0.04559	
      42          17430      1100        15100            430		0.04705	
      42          23615      1391        16100            435		0.0515	
      42          33576      1904        17300            441		0.03585	
      42          41749      2197        18100            445		0.03206	
      42          53665      2579        19000            450		0.03257	
      42          64689      2938        19400            454		0.02503	
      42          83824      3417        20000            460		0.01821	
      42         101729      3743        20000            465		0.01865	
      42         121349      4109        20000            470		0.01812	
      42         136193      4378        20000          473.5		0.0128	
      42         213397      5366        20000            489		0.01535	
      42         218805      5449        46700            490		0.01359	
      42         277286      6244        73600            500		0.0136	
      42         365008      7437       122200            515		0.0136	
      44              0         0            0           1067		0.00336	!use upper interval coefev, ???
      44              0     30000       128651     1067.00001		0.00336	
      44         600000     32015       275326         1086.1		0.00503	
      44         636000     32196       282067           1087		0	
      44         636001     32196       282067           1087		0	
      45              0	        0	     99999	          185	    0.0535	! Lake Berryessa
	  45	       6840	      366	     99999	          250	    0.0535
	  45	      11155	      507	     99999	          260	    0.0327
      45	      17070	      682	     99999	          270	    0.0296
      45	      25012	      926	     99999	          280	    0.0307
      45	      36120	      1340	     99999	          290	    0.0373
      45	      52762	      1996	     99999	          300	    0.0394
      45	      76628	      2803	     99999	          310	    0.0338
      45	     109720	      3902	     99999	          320	    0.0332
      45	     155369	      5159	     99999	          330	    0.0275
      45	     214175	      6779	     99999	          340	    0.0275
      45	     290772	      8461	     99999	          350	    0.022
      45	     382593	      9851	     99999	          360	    0.0151
      45	     487581	      11115	     99999	          370	    0.012
      45	     604873	      12332	     99999	          380	    0.0104
      45	     734427	      13590	     99999	          390	    0.0097
      45	     876305	      14778	     99999	          400	    0.0084
      45	    1029586	      15856	     99999	          410	    0.007
      45	    1193259	      16895	     99999	          420	    0.0063
      45	    1367751	      17924	     99999	          430	    0.0059
	  45	    1551292	      18880	     99999	          440	    0.0052	! Spillway crest
	  45	    1744707	      19790	     99999	          450	    0.0047
      52              0         0            0              0		0.0465	!Hensley Lake 
      52          10000       465        99999            462		0.0244	
      52          20000       709        99999            479		0.0184	
      52          30000       893        99999            491		0.0152	
      52          40000      1045        99999            502		0.0131	
      52          50000      1176        99999            511		0.0114	
      52          60000      1290        99999            519		0.00975	
      52          80000      1485        99999            534		0.00815	
      52         100000      1648        99999            548		0.0069	
      52         120000      1786        99999            561		0.0069	
      53              0         0            0              0		0.03887	
      53          15000       583        99999            475		0.01535 ! Eastman Lake	
      53          35000       890        99999            502		0.01072	
      53          60000      1158        99999            525		0.00848	
      53          85000      1370        99999            544		0.00712	
      53         110000      1548        99999            562		0.00624	
      53         135000      1704        99999            577		0.0056	
      53         160000      1844        99999            592		0.00512	
      53         185000      1972        99999            606		0.00472	
      53         210000      2090        99999            619		0.00472	
      63              0         0         5000              0		0.01161 ! ???	
      63         336000      3900         5000            142		0.00661	
      63         669000      6100         5000            199		0.00571	
      63        1002000      8000         5000            239		0.0042	
      63        1335000      9400         5000            263		0.0039	
      63        1668000     10700         5000            284		0.00541	
      63        2001000     12500         5000            311		0.00541	
      63        2334000     14300         5000            345		0.0036	
      63        2667000     15500         5000            361		0.0024	
      63        3000000     16300         5000            373		0.0024	
      74              0         2            0          116.5		0.25143 ! ???	
      74            875       222        99999          131.5		0.23638	
      74           2766       669        99999            136		0.15195	
      74           7998      1464        99999            141		0.10036	
      74          15312      2198        99999            145		0.04859	
      74          67322      4725        99999            160		0.04286	
      74         115878      6806        99999          168.5		0.04286	
      75              0         0            0            180		0.06508 !Woodward Reservoir	
      75          21098      1373        99999            202		0.05814	
      75          25759      1644        99999            205		0.06938	
      75          31438      2038        99999            208		0	
      75          32529      2038        99999          208.5		0.12435	
      75          33679      2181        99999            209		0.12435	
      76              0         0         1100            400		0.0228 !Tulloch Reservoir (Jay added Elevation Column)	
      76          20000       456         1740            453		0.0188	
      76          30000       644         2040            470		0.0191	
      76          40000       835         8000            483		0.0195	
      76          50000      1030         8000            494		0.01971	
      76          57000      1168         8000            500.5		0.01982	
      76          62500      1277         8000            505.5		0.02	
      76          63500      1297        27950            506.0		0.02	
      76          67000      1367        27950            508		0.02	
      76          70000      1427       121200            511		0.02	
      78              0         0            0            180		0.48333	!Modesto Lake 
      78            600       290            0            186		0.12143	
      78           2000       460        99999            190		0.10833	
      78           4400       720        99999            194		0.09444	
      78           8000      1060        99999            198		0.08636	
      78          10200      1250        99999            200		0.08077	
      78          12800      1460        99999            202		0.07419	
      78          15900      1690        99999            204		0.06286	
      78          19400      1910        99999            206		0.055	
      78          23400      2130        99999            208		0.36304	
      78          28000      3800        99999            210		0.36304	
      79              0       123            0          212.5		0.29144	
      79           1472       552        99999          216.5		0.11706	! Turlock Lake 
      79           4590       917        99999          220.5		0.07965	
      79           9700      1324        99999          224.5		0.06712	
      79          16300      1767        99999          228.5		0.0611	
      79          23550      2210        99999          232.5		0.05199	
      79          27820      2432        99999          234.5		0.04305	
      79          33000      2655        99999          236.5		0.03711	
      79          42000      2989        99999          239.5		0.03294	
      79          48740      3211        99999          241.5		0.03294	
      81              0         0            0              0		0.01752	 ! DON PEDRO Reservoir
      81         100000      1752        99999            524		0.00788	
      81         400000      4116        99999            628		0.00622	
      81         700000      5983        99999            683		0.00564	
      81        1000000      7675        99999            725		0.00532	
      81        1300000      9270        99999            760		0.0051	
      81        1600000     10800        99999            791		0.00494	
      81        1900000     12283        99999            820		0.00483	
      81        2200000     13732        99999            847		0.00473	
      81        2500000     15151        99999            872		0.00473	
      90	0	0	0	250	0.321548822  ! Pardee Reservoir
      90	36	11	99999	260	0.031091718
      90	1461	56	99999	300	0.018058781
      90	4712	114	99999	340	0.01792899
      90	11512	236	99999	380	0.017007651
      90	11993	245	99999	382	0.01914663
      90	12492	254	99999	384	0.022082748
      90	13011	266	99999	386	0.017866381
      90	13552	275	99999	388	0.007925547
      90	14689	284	99999	392	0.014440069
      90	15283	293	99999	394	0.013830761
      90	15895	301	99999	396	0.01440881
      90	16525	310	99999	398	0.014494763
      90	17174	320	99999	400	0.014390426
      90	17843	329	99999	402	0.014078573
      90	18531	339	99999	404	0.014337676
      90	19240	349	99999	406	0.014757574
      90	19971	360	99999	408	0.014403402
      90	20724	371	99999	410	0.013985562
      90	21498	382	99999	412	0.013736091
      90	22296	393	99999	414	0.01425071
      90	23116	404	99999	416	0.01369506
      90	23960	416	99999	418	0.014505903
      90	24831	429	99999	420	0.014637414
      90	25726	442	99999	422	0.013363319
      90	26647	454	99999	424	0.013207986
      90	27592	466	99999	426	0.013132571
      90	28564	479	99999	428	0.013304768
      90	29563	493	99999	430	0.013481526
      90	30590	506	99999	432	0.013215024
      90	31644	520	99999	434	0.013166636
      90	32728	535	99999	436	0.013211428
      90	33842	549	99999	438	0.013007234
      90	34985	564	99999	440	0.012706556
      90	36158	579	99999	442	0.012735998
      90	37363	594	99999	444	0.01273736
      90	38599	610	99999	446	0.012835353
      90	39869	626	99999	448	0.013115433
      90	41174	644	99999	450	0.013105974
      90	42514	661	99999	452	0.013407335
      90	43893	680	99999	454	0.013563937
      90	45310	699	99999	456	0.013886507
      90	46768	719	99999	458	0.012784613
      90	48264	738	99999	460	0.01310001
      90	49801	758	99999	462	0.012740669
      90	51379	778	99999	464	0.013768156
      90	53005	801	99999	466	0.01384889
      90	54675	824	99999	468	0.013415131
      90	56395	847	99999	470	0.014045516
      90	58161	872	99999	472	0.012621755
      90	59976	895	99999	474	0.013804454
      90	61842	921	99999	476	0.012497581
      90	63753	944	99999	478	0.011631944
      90	65712	967	99999	480	0.01202863
      90	67719	991	99999	482	0.012262818
      90	69778	1017	99999	484	0.012178812
      90	71887	1042	99999	486	0.011139686
      90	74045	1066	99999	488	0.01157749
      90	76254	1092	99999	490	0.011310156
      90	78515	1117	99999	492	0.011150808
      90	80827	1143	99999	494	0.010856275
      90	83191	1169	99999	496	0.010685265
      90	85605	1195	99999	498	0.010177591
      90	88071	1220	99999	500	0.010252826
      90	90589	1246	99999	502	0.010616297
      90	93161	1273	99999	504	0.009991118
      90	95785	1299	99999	506	0.004685498
      90	101184	1324	99999	510	0.00911622
      90	103961	1350	99999	512	0.009073807
      90	106789	1375	99999	514	0.008927084
      90	109670	1401	99999	516	0.008881787
      90	112605	1427	99999	518	0.009039351
      90	115592	1454	99999	520	0.008677895
      90	118633	1481	99999	522	0.008376838
      90	121728	1507	99999	524	0.008974249
      90	124877	1535	99999	526	0.008117365
      90	128080	1561	99999	528	0.008462394
      90	131336	1588	99999	530	0.007996977
      90	134643	1615	99999	532	0.007678874
      90	138005	1641	99999	534	0.007764334
      90	141419	1667	99999	536	0.007795697
      90	144888	1694	99999	538	0.007516344
      90	148412	1721	99999	540	0.007672249
      90	151994	1748	99999	542	0.007785928
      90	155633	1776	99999	544	0.007819577
      90	159332	1805	99999	546	0.007671906
      90	163091	1834	99999	548	0.007975722
      90	166910	1865	99999	550	0.007736637
      90	170816	1895	99999	552	0.008051388
      90	174803	1927	99999	554	0.012210623
      90	178863	1977	99999	556	0.008185232
      90	182993	2010	99999	558	0.00916589
      90	187187	2049	99999	560	0.007629749
      90	191443	2081	99999	562	0.007320716
      90	195755	2113	99999	564	0.006710811
      90	200126	2142	99999	566	0.006526917
      90	209165	2201	99999	570	0.016916012
      90	213773	2279	99999	572	0.016916012
      91	      0		0	     0		    0		0.142523364  ! Camanche Reservoir
      91	    428	       61	 99999		  104		0.136690647
      91	    567	       80	 99999	  	  106		0.169312169
      91	    756	      112	 99999		  108		0.172284644
      91	   1023	      158	 99999		  110		0.159151194
      91	   1400	      218	 99999		  112		0.129032258
      91	   1927	      286	 99999		  114		0.101788171
      91	   2654	      360	 99999		  116		0.072277228
      91	   3664	      433	 99999		  118		0.05291411
      91	   4968	      502	 99999		  120		0.042763158
      91	   6488	      567	 99999		  122		0.037712895
      91	   8132	      629	 99999		  124		0.04389929
      91	   9681	      697	 99999		  126		0.049136786
      91	  11187	      771	 99999		  128		0.040779063
      91	  12830	      838	 99999		  130		0.042505593
      91	  14618	      914	 99999		  132		0.031754295
      91	  16539	      975	 99999		  134		0.026600985
      91	  18569	     1029	 99999		  136		0.029725964
      91	  20722	     1093	 99999		  138		0.02803329
      91	  23005	     1157	 99999		  140		0.024583333
      91	  25405	     1216	 99999		  142		0.028379976
      91	  27942	     1288	 99999		  144		0.030392884
      91	  30640	     1370	 99999		  146		0.030651341
      91	  33511	     1458	 99999		  148		0.027595269
      91	  36555	     1542	 99999		  150		0.02525725
      91	  39762	     1623	 99999		  152		0.024621774
      91	  43133	     1706	 99999		  154		0.023479491
      91	  46668	     1789	 99999		  156		0.022156174
      91	  50369	     1871	 99999		  158		0.023213825
      91	  54246	     1961	 99999		  160		0.024342267
      91	  58313	     2060	 99999		  162		0.028139535
      91	  62613	     2181	 99999		  164		0.030010953
      91	  67178	     2318	 99999		  166		0.031449126
      91	  72043	     2471	 99999		  168		0.029588087
      91	  77214	     2624	 99999		  170		0.029336735
      91	  82702	     2785	 99999		  172		0.026882647
      91	  88505	     2941	 99999		  174		0.027555845
      91	  94638	     3110	 99999		  176		0.025065759
      91	 101101	     3272	 99999		  178		0.023872679
      91	 107887	     3434	 99999		  180		0.023046655
      91	 115003	     3598	 99999		  182		0.022290855
      91	 122450	     3764	 99999		  184		0.020970024
