CAM_PF3
YEAR	MONTH	Oro	Sha	Fol	SWPSL	CVPSL
1993	5	2480	2449	555	943	743
1993	6	2964	3917	621	1067	836
1993	7	3456	4544	800	1058	813
1993	8	3538	4552	975	985	799
1993	9	3538	4500	975	885	681
1993	10	2997	3917	869	809	373
1993	11	2613	3646	779	746	173
1993	12	2554	3400	650	761	175
1994	1	2625	3250	650	870	239
1994	2	2705	3227	554	754	370
1994	3	2855	3354	564	698	522
1994	4	2894	3538	556	817	645
1994	5	2985	3771	562	1032	716
1994	6	3163	3843	577	857	824
1994	7	3125	3691	627	687	733
1994	8	3085	3404	625	448	551
1994	9	2774	2957	572	178	277
1994	10	2063	2376	330	90	94
1994	11	1522	1911	336	79	45
1994	12	1183	1845	352	110	90
