!
!Gross Flood Reservation based on precipitation parameter defined in Flood Control Diagram
!
ESTMN_Gross_Res
Month	PAR	FloodCurve
1	2	30.165
1	6	30.165
1	10	30.165
2	2	45
2	6	45
2	10	45
3	2	43
3	6	44
3	10	45
4	2	38
4	6	41
4	10	45
5	2	32.5
5	6	38
5	10	45
6	2	22
6	6	29
6	10	37
7	2	8
7	6	16
7	10	23.5
8	2	0
8	6	1.5
8	10	9
9	2	0
9	6	0
9	10	0
10	2	0
10	6	0
10	10	0
11	2	0
11	6	0
11	10	0
12	2	14.835
12	6	14.835
12	10	14.835
