cyc,int_violation,solver,intdrummax,int_hst_abv,intpgeresbalance,intsjrdiversion,int_sjr205,int_sackaccr_abv,int_mpinflow_abv,int_makeup,c4_dfg_red_trig,ei_int_fm,pulse_int_apr,pulse_int_may,int_coa_fm,sl_int_fm,int_unknown,int_bso,int_eastside,int_mweir1,int_mweir2,int_cweir1,int_cweir2,int_tweir,int_tweir0,int_tweir1,int_tweir2,int_fweir1,int_fweir2,int_sweir,int_sluis_swp_full,int_sac_below,int_tp_fill,int_lvp_fill,int_i422_p,int_sac097,int_cbd001,int_klr005corr,int_hands,int_whs_stor_chg,int_ibu_uwfe,
1981_01_c02: ,false,c__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981_01_c03: ,false,c__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981_01_c04: ,false,c__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981_01_c05: ,false,c__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981_01_c06: ,false,c__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981_01_c07: ,false,c__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981_01_c08: ,false,c__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981_01_c11: ,false,c__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981_01_c12: ,false,c__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981_01_c13: ,false,c__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981_01_c14: ,false,c__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981_01_c15: ,false,c__,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981_01_c16: ,false,c__,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981_01_c17: ,false,c__,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981_01_c18: ,false,c__,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981_01_c19: ,false,c__,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981_01_c22: ,false,c__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
