C*******************************************************************************
C                       Groundwater Hydrograph at Selected Nodes
C
C   NOUTH     ;  Total number of hydrographs to be printed
C                  (set NOUTH = 0 if no hydrograph data is to be printed)
C   GWHSOMEFL ;  File name for groundwater hydrograph output at specified locations
C                  * Leave blank if this output is not required
C   FACTXY    ;  Conversion factor for hydrograph location coordinates
C   ID        ;  Sequential ID number for hydrograph locations
C   ILAYER    ;  Aquifer layer number 
C                  (set ILAYER = 0 to print average head for all layers)
C   X         ;  x-coordinate of hydrograph location
C                  * Leave blank if location is specified as a node
C   Y         ;  y-coordinate of hydrograph location 
C                  * Leave blank if location is specified as a node
C   INODE     ;  Node number for hydrograph print-out 
C                  * Leave blank if location is specified x-y coordinate
C             
C-------------------------------------------------------------------------------
C   VALUE                                        DESCRIPTION
C-------------------------------------------------------------------------------
     1387                                           / NOUTH     169
     GWhyd.out                                  / GWSOMEFL
     3.2808                                      / FACTXY   
C-------------------------------------------------------------------------------
C   ID       ILAYER     X            Y            INODE                                   
C-------------------------------------------------------------------------------
 176	       1    710036       4140486
 177	       1    704770       4137358
 178	       2    715774       4146085
 179	       1    717493       4137557
 180	       1    725661       4143648
 181	       1    724989       4140965
 182	       1    594461       4256815
 183	       1    587781       4255618
 184	       1    613098       4258954
 185	       1    606132       4256572
 186	       1    617152       4257991
 187	       1    630275       4259236
 188	       1    636701       4260608
 189	       2    639549       4255362
 190	       2    634222       4253329
 191	       1    648053       4259178
 192	       1    648188       4256083
 193	       1    649153       4255857
 194	       1    658847       4261904
 195	       1    655075       4253904
 196	       1    656165       4253548
 197	       1    668398       4261233
 198	       1    662105       4258294
 199	       1    670688       4254087
 200	       1    672941       4136516
 201	       2    673174       4132081
 202	       1    664868       4130282
 203	       1    673092       4127917
 204	       1    677848       4136186
 205	       1    685873       4133963
 206	       1    684793       4132674
 207	       2    691721       4130976
 208	       1    691721       4130976
 209	       1    696930       4135748
 210	       1    698501       4129679
 211	       1    710009       4134867
 212	       1    707123       4133963
 213	       2    713089       4131581
 214	       1    705757       4130409
 215	       1    721416       4135792
 216	       1    713097       4133369
 217	       1    714797       4129681
 218	       2    730796       4134771
 219	       1    727571       4130085
 220	       1    733389       4133666
 221	       1    740125       4130169
 222	       1    604229       4269388
 223	       1    600339       4266908
 224	       1    598804       4260574
 225	       1    589595       4262774
 226	       1    588292       4261484
 227	       1    613085       4269164
 228	       1    610722       4266146
 229	       1    605513       4265187
 230	       1    618770       4266627
 231	       1    617860       4263894
 232	       1    623995       4270336
 233	       1    624186       4265888
 234	       1    630782       4265627
 235	       1    631340       4262406
 236	       1    632967       4268482
 237	       1    637210       4267566
 238	       1    645257       4265587
 239	       1    642785       4262890
 240	       1    658058       4270492
 241	       1    652651       4269299
 242	       1    652981       4262967
 243	       1    671685       4122094
 244	       1    673371       4119109
 245	       1    676275       4125430
 246	       1    679330       4125306
 247	       2    682793       4120319
 248	       1    682847       4120265
