!swp_3pattern_demands_for_WSIDI_training
! output file swp_3pattern_demands_for_WSIDI_training.table to use ONLY for retraining WSI-DI curves
!  with uniform SWP delivery patterns (equal to the 100% patterns) - see simulation protocol for
!  instructions on WSI-DI retraining procedures.
!
! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2020D09E Level of Development Assumptions
! source spreadsheet: FIXED_BST_SWP_SOD_2021DCR_Oct2021.xlsm
swp_3pattern_demands
contractor       month            percent          demand           remainDemand
               17                8              100            14.62            92.52
               17                9              100            15.90            77.90
               17               10              100            16.70            62.00
               17               11              100            17.70            45.30
               17               12              100            13.10            27.60
               17                1              100             7.70            14.50
               17                2              100             4.40             6.80
               17                3              100             2.40             2.40
               18                4              100             0.15            66.13
               18                5              100             0.78            65.98
               18                6              100             2.22            65.20
               18                7              100             5.55            62.98
               18                8              100             8.11            57.43
               18                9              100            10.51            49.32
               18               10              100            11.31            38.81
               18               11              100            10.43            27.50
               18               12              100             7.75            17.07
               18                1              100             4.52             9.32
               18                2              100             2.50             4.80
               18                3              100             2.30             2.30
               19                4              100             0.86            83.91
               19                5              100             1.68            83.05
               19                6              100             1.67            81.37
               19                7              100             3.92            79.70
               19                8              100             9.95            75.78
               19                9              100            16.83            65.83
               19               10              100            17.00            49.00
               19               11              100            14.83            32.00
               19               12              100             9.67            17.17
               19                1              100             4.00             7.50
               19                2              100             1.75             3.50
               19                3              100             1.75             1.75
               20                4              100             0.10             2.30
               20                5              100             0.10             2.20
               20                6              100             0.19             2.11
               20                7              100             0.22             1.92
               20                8              100             0.25             1.69
               20                9              100             0.25             1.44
               20               10              100             0.25             1.19
               20               11              100             0.25             0.93
               20               12              100             0.27             0.68
               20                1              100             0.16             0.42
               20                2              100             0.14             0.26
               20                3              100             0.12             0.12
               21                4              100             0.00           115.41
               21                5              100             0.00           115.41
               21                6              100             7.01           115.41
               21                7              100             4.90           108.40
               21                8              100             8.63           103.50
               21                9              100            10.27            94.86
               21               10              100            14.55            84.60
               21               11              100            14.32            70.05
               21               12              100            12.59            55.73
               21                1              100            10.46            43.14
               21                2              100            18.03            32.68
               21                3              100            14.65            14.65
               22                4              100             2.59           604.48
               22                5              100             5.14           601.89
               22                6              100            16.60           596.75
               22                7              100            15.42           580.15
               22                8              100            11.19           564.74
               22                9              100            81.47           553.55
               22               10              100            83.70           472.08
               22               11              100            89.77           388.38
               22               12              100            94.57           298.61
               22                1              100            93.87           204.04
               22                2              100            93.80           110.17
               22                3              100            16.38            16.38
               23                4              100             6.81           270.43
               23                5              100             7.64           263.62
               23                6              100            19.88           255.98
               23                7              100            32.14           236.10
               23                8              100            29.20           203.96
               23                9              100            26.72           174.76
               23               10              100            25.44           148.04
               23               11              100            24.73           122.60
               23               12              100            21.77            97.87
               23                1              100            26.57            76.09
               23                2              100            24.14            49.52
               23                3              100            25.39            25.39
               24                4              100            19.07           519.89
               24                5              100            15.92           500.82
               24                6              100            31.61           484.90
               24                7              100            45.97           453.29
               24                8              100            50.85           407.33
               24                9              100            47.95           356.48
               24               10              100            50.18           308.53
               24               11              100            50.71           258.35
               24               12              100            49.18           207.64
               24                1              100            60.63           158.46
               24                2              100            53.07            97.83
               24                3              100            44.76            44.76
               25                4              100             6.02           201.30
               25                5              100             8.28           195.28
               25                6              100            16.17           187.00
               25                7              100            19.65           170.83
               25                8              100            21.38           151.18
               25                9              100            22.78           129.79
               25               10              100            22.98           107.01
               25               11              100            20.02            84.03
               25               12              100            18.40            64.01
               25                1              100            16.14            45.61
               25                2              100            16.15            29.47
               25                3              100            13.32            13.32
               26                4              100             1.41            50.29
               26                5              100             1.73            48.87
               26                6              100             2.23            47.14
               26                7              100             2.35            44.91
               26                8              100             2.36            42.56
               26                9              100             3.04            40.20
               26               10              100             4.65            37.16
               26               11              100             4.66            32.51
               26               12              100             7.47            27.84
               26                1              100            13.56            20.37
               26                2              100             4.05             6.82
               26                3              100             2.76             2.76
               27                4              100             0.47            17.68
               27                5              100             0.50            17.21
               27                6              100             0.42            16.72
               27                7              100             0.92            16.29
               27                8              100             2.12            15.38
               27                9              100             2.43            13.26
               27               10              100             2.45            10.83
               27               11              100             2.44             8.38
               27               12              100             2.43             5.94
               27                1              100             2.00             3.51
               27                2              100             0.78             1.51
               27                3              100             0.73             0.73
               28                4              100             0.10             2.98
               28                5              100             0.06             2.88
               28                6              100             0.15             2.82
               28                7              100             0.24             2.68
               28                8              100             0.35             2.44
               28                9              100             0.54             2.09
               28               10              100             0.59             1.55
               28               11              100             0.54             0.96
               28               12              100             0.23             0.42
               28                1              100             0.15             0.18
               28                2              100             0.02             0.04
               28                3              100             0.02             0.02
               29                4              100             1.06            21.30
               29                5              100             2.28            20.24
               29                6              100             2.34            17.96
               29                7              100             2.34            15.62
               29                8              100             2.02            13.27
               29                9              100             2.36            11.25
               29               10              100             1.68             8.90
               29               11              100             0.90             7.22
               29               12              100             0.61             6.32
               29                1              100             1.92             5.71
               29                2              100             1.91             3.79
               29                3              100             1.87             1.87
               30                4              100             1.37            92.60
               30                5              100             1.37            91.23
               30                6              100             5.97            89.86
               30                7              100             6.20            83.89
               30                8              100             7.99            77.69
               30                9              100             7.96            69.70
               30               10              100            10.38            61.75
               30               11              100            11.43            51.37
               30               12              100            11.29            39.95
               30                1              100            11.29            28.66
               30                2              100            11.74            17.37
               30                3              100             5.63             5.63
               31                4              100             0.00            28.80
               31                5              100             0.47            28.80
               31                6              100             2.74            28.33
               31                7              100             3.05            25.59
               31                8              100             3.15            22.54
               31                9              100             3.05            19.39
               31               10              100             3.15            16.34
               31               11              100             3.15            13.19
               31               12              100             3.05            10.04
               31                1              100             3.15             6.99
               31                2              100             2.67             3.83
               31                3              100             1.17             1.17
               32                4              100             0.46            13.14
               32                5              100             0.01            12.68
               32                6              100             1.02            12.68
               32                7              100             1.32            11.66
               32                8              100             1.32            10.34
               32                9              100             1.35             9.02
               32               10              100             1.37             7.67
               32               11              100             1.18             6.30
               32               12              100             1.26             5.12
               32                1              100             1.43             3.86
               32                2              100             1.26             2.44
               32                3              100             1.18             1.18
               33                4              100             0.99            13.59
               33                5              100             0.98            12.60
               33                6              100             1.06            11.62
               33                7              100             1.14            10.56
               33                8              100             1.20             9.42
               33                9              100             1.23             8.22
               33               10              100             1.28             6.99
               33               11              100             1.30             5.71
               33               12              100             1.23             4.41
               33                1              100             1.20             3.18
               33                2              100             1.01             1.98
               33                3              100             0.97             0.97
               34                4              100             2.29            34.96
               34                5              100             2.36            32.66
               34                6              100             2.59            30.31
               34                7              100             2.60            27.71
               34                8              100             3.52            25.12
               34                9              100             3.61            21.60
               34               10              100             3.47            17.99
               34               11              100             3.69            14.51
               34               12              100             4.16            10.82
               34                1              100             3.29             6.67
               34                2              100             1.49             3.38
               34                3              100             1.89             1.89
               35                4              100             1.06            80.74
               35                5              100             1.35            79.68
               35                6              100             1.49            78.33
               35                7              100             2.18            76.84
               35                8              100             6.85            74.66
               35                9              100            10.44            67.81
               35               10              100            11.00            57.37
               35               11              100            11.00            46.37
               35               12              100            11.00            35.37
               35                1              100            11.00            24.37
               35                2              100             6.96            13.37
               35                3              100             6.41             6.41
               36                4              100             0.00            23.89
               36                5              100             0.00            23.89
               36                6              100             0.00            23.89
               36                7              100             0.00            23.89
               36                8              100             1.90            23.89
               36                9              100             4.10            21.99
               36               10              100             4.20            17.89
               36               11              100             4.20            13.69
               36               12              100             2.04             9.49
               36                1              100             2.75             7.45
               36                2              100             2.15             4.70
               36                3              100             2.55             2.55
               37                4              100             0.00            87.47
               37                5              100             0.00            87.47
               37                6              100             0.00            87.47
               37                7              100             0.00            87.47
               37                8              100             6.00            87.47
               37                9              100            15.63            81.47
               37               10              100            15.45            65.84
               37               11              100            15.29            50.39
               37               12              100            10.67            35.10
               37                1              100             2.50            24.43
               37                2              100             6.18            21.93
               37                3              100            15.74            15.74
               38                4              100             0.00             3.15
               38                5              100             0.00             3.15
               38                6              100             0.00             3.15
               38                7              100             0.00             3.15
               38                8              100             0.00             3.15
               38                9              100             0.00             3.15
               38               10              100             0.00             3.15
               38               11              100             0.00             3.15
               38               12              100             0.00             3.15
               38                1              100             0.00             3.15
               38                2              100             2.20             3.15
               38                3              100             0.95             0.95
               39                4              100             1.42            16.85
               39                5              100             1.42            15.43
               39                6              100             1.43            14.02
               39                7              100             1.62            12.59
               39                8              100             1.62            10.97
               39                9              100             1.62             9.35
               39               10              100             1.62             7.73
               39               11              100             1.62             6.11
               39               12              100             1.62             4.49
               39                1              100             1.62             2.87
               39                2              100             0.00             1.25
               39                3              100             1.25             1.25
                1                4               60             0.17            35.80
                1                5               60             0.47            35.63
                1                6               60             0.94            35.16
                1                7               60             1.00            34.22
                1                8               60             3.51            33.22
                1                9               60             3.62            29.72
                1               10               60             7.38            26.10
                1               11               60             7.65            18.72
                1               12               60             6.02            11.07
                1                1               60             3.22             5.05
                1                2               60             1.14             1.84
                1                3               60             0.70             0.70
                2                4               60             2.36            29.88
                2                5               60             1.43            27.52
                2                6               60             2.11            26.09
                2                7               60             2.22            23.98
                2                8               60             2.69            21.76
                2                9               60             3.04            19.07
                2               10               60             3.30            16.04
                2               11               60             3.28            12.73
                2               12               60             3.14             9.46
                2                1               60             2.86             6.32
                2                2               60             1.93             3.46
                2                3               60             1.52             1.52
                3                4               60             1.32            29.51
                3                5               60             1.32            28.20
                3                6               60             1.02            26.88
                3                7               60             1.51            25.86
                3                8               60             1.79            24.35
                3                9               60             2.98            22.56
                3               10               60             3.03            19.58
                3               11               60             3.30            16.55
                3               12               60             4.19            13.25
                3                1               60             2.96             9.06
                3                2               60             3.07             6.09
                3                3               60             3.03             3.03
                4                4               60             3.04            81.39
                4                5               60             3.81            78.35
                4                6               60             3.95            74.54
                4                7               60             4.82            70.59
                4                8               60             7.13            65.77
                4                9               60             8.99            58.64
                4               10               60            11.04            49.65
                4               11               60            11.50            38.61
                4               12               60             9.84            27.11
                4                1               60             7.53            17.28
                4                2               60             5.94             9.74
                4                3               60             3.80             3.80
                5                4               60             1.06            12.70
                5                5               60             1.06            11.64
                5                6               60             1.06            10.58
                5                7               60             1.06             9.53
                5                8               60             1.06             8.47
                5                9               60             1.06             7.41
                5               10               60             1.06             6.35
                5               11               60             1.06             5.29
                5               12               60             1.06             4.23
                5                1               60             1.06             3.18
                5                2               60             1.06             2.12
                5                3               60             1.06             1.06
                6                4               60             2.20            34.41
                6                5               60             1.94            32.21
                6                6               60             1.75            30.26
                6                7               60             2.31            28.52
                6                8               60             3.05            26.21
                6                9               60             3.76            23.16
                6               10               60             4.41            19.40
                6               11               60             4.36            14.99
                6               12               60             3.87            10.63
                6                1               60             2.89             6.77
                6                2               60             2.26             3.87
                6                3               60             1.61             1.61
                7                4               60             0.24             4.80
                7                5               60             0.24             4.56
                7                6               60             0.24             4.32
                7                7               60             0.24             4.08
                7                8               60             0.24             3.84
                7                9               60             0.24             3.60
                7               10               60             1.06             3.36
                7               11               60             1.06             2.30
                7               12               60             0.53             1.25
                7                1               60             0.24             0.72
                7                2               60             0.24             0.48
                7                3               60             0.24             0.24
                8                4               60             8.63            69.18
                8                5               60             5.09            60.55
                8                6               60             0.00            55.46
                8                7               60             0.00            55.46
                8                8               60             0.24            55.46
                8                9               60             2.70            55.22
                8               10               60             4.19            52.52
